v,"""/min",P.A.
19,2.01,102.6
20.9,1.18,305
21.5,1.37,332.3
20,16.14,77
21.2,4.22,92.8
21,1.26,63.6
18.7,7.26,2.4
18.9,7.28,196.9
19.3,0.16,328.5
21,2.05,91.5
20.9,0.89,211.1
20.3,5.47,136.6
20.6,1.31,306.4
20.4,1.67,198.3
20.7,1.65,280.2
21.1,1.55,325.7
21.6,3.26,135
21.5,7.29,88.9
21.5,1.16,333.8
20.4,0.41,341.5
27.7,1.49,154.6
35.5,0.47,106
21.1,1.84,219.1
20.6,1.92,216.6
21.2,0.89,253.3
21.5,1.84,337.3
20.9,2.24,339.6
21.7,1.05,313.5
19.5,10.42,245.9
21.7,1.25,315.3
21.1,5.02,348.7
19.4,5.48,154.6
21.2,1.05,316.1
21.4,0.48,239.1
21.1,2.72,251.2
21.4,0.71,290.3
20.7,1.55,332.8
20.3,1.04,179.5
21.2,0.92,345.2
21,0.97,191.1
21,0.8,139.8
21.5,1.12,329.7
21.3,0.9,323.7
20.9,0.78,266.9
21.5,1.3,345.2
19.5,4.48,266.3
20.9,0.44,179.1
20.5,34.62,252
18.2,2.31,36.6
21.5,0.76,314.8
21.4,0.75,243.8
19,1.06,43.8
19.8,7.03,87.9
22.1,1.55,2.1
21.3,0.37,6.2
21,1.22,146.7
24.7,0.84,119.2
19.5,3.09,224.5
24.8,0.19,150.3
22.1,1.06,317.4
24.9,1.37,118.9
23.6,1.74,134.3
24,0.14,100.3
20.7,1.19,315.4
21.6,0.18,344.9
20.9,0.33,267.8
17.5,36.21,195.1
18.5,0.45,342
19.5,13.2,334.9
21.1,1.83,218.5
21.2,0.9,253.6
21.5,1.86,337.2
20.7,2.29,340.9
21.7,1.07,313.5
20.2,5.31,245.9
21.7,1.26,315.1
20.9,5.01,350.7
17.9,23.68,154.5
21.2,1.06,317.1
21.4,0.46,239.1
20.8,2.7,251.7
20.7,1.54,331.5
20.3,1.03,180.5
21.2,0.99,341.3
20.9,0.99,193.4
21.4,1.13,329
20.9,0.9,324.1
20.9,0.8,266.2
21.4,1.31,344
21.1,31.53,246.2
20.1,2.4,35.1
21.6,0.76,312.6
19,1.09,44.8
22.1,1.54,2.9
21,1.27,147.9
24.9,0.65,124.3
19.4,3.14,224.3
25,0.17,146
22.1,1.05,318.5
24.9,1.21,118.9
23.7,1.55,133.9
24.2,0.15,101.3
20.9,1.13,49.2
21.3,1.34,60.5
21,1.14,317.8
21.1,1.11,245.6
22.1,0.85,205.7
20.3,0.38,296.3
17.8,13.68,176.2
21,1.09,47.7
21.5,5.03,37.8
21.1,13.78,211.8
21.5,3.7,321.6
21.8,0.86,259.8
20.4,0.65,289.4
18.6,37.93,98.6
20.2,7.53,101
19.6,29.29,148.4
20.6,8.8,34.1
20.6,9.96,212.1
21.5,5.18,345.7
19.2,15.99,26.5
21,0.8,244.7
20.2,0.99,251.1
19.3,14.03,42.4
21.6,1.8,129.9
19.8,6.65,247.1
21.2,6.63,50.3
20.5,17.52,191.1
21.1,0.53,131.3
21.2,1.22,320.1
22,1.07,252.7
20,1.26,41.7
20.9,0.94,257.6
21.2,0.75,277.7
21.9,1.84,167.2
22.2,1.14,322.2
21.1,3.43,207.2
21.3,4.79,167.9
20.2,18.58,145.5
20.6,1.18,315.5
21.4,0.2,357.8
17.8,31.31,193.8
18.6,0.45,342.3
19.6,11.46,331.3
21.1,1.84,219.4
21.2,0.88,254.4
21.6,1.86,339.4
20.6,2.39,340.7
21.7,1.05,314.3
20.8,3.16,246.4
21.7,1.26,318.2
20.9,5,350.5
18.7,404.7,36.2
21.4,0.44,239
20.8,2.65,252.1
20.8,1.51,330
20.4,1.02,181.7
21.2,1.04,340.1
20.9,1.04,195.4
21.5,1.13,327.9
21,0.89,322.9
20.8,0.82,265.5
21.5,1.3,342.8
21.9,25.94,242.1
21.5,0.75,310.6
19,1.13,45.8
22.1,1.67,4
20.9,1.3,149.2
19.4,3.19,224.1
25.2,0.16,140.7
22.1,1.04,319.7
25,1.06,118.9
23.8,1.37,133.4
19.1,20.22,173.3
22.1,0.57,6.2
20.8,1.16,321
20.8,0.76,269.1
21.2,1,252.6
20.9,0.9,260.3
20.7,0.8,293
21.7,1.68,127.3
21.4,0.97,299.3
18.9,5.66,9.4
22,1.53,90.5
21.2,0.47,120.4
19.7,1.67,168.4
19.6,25.85,236.4
21.8,7.59,216.8
21.1,0.79,91.4
21.9,1.09,326.3
20.3,8.31,105.9
20.8,0.37,260.7
19.7,4.92,330.2
20.6,1.81,344
20.4,15.06,224.6
21.6,1.12,5.9
19.1,12.16,61.9
20.9,9.76,333.4
21,7.87,60.5
18,96.98,160.1
20.6,4.62,166.7
21.5,3.45,54.7
20.8,1.14,47
21.2,1.33,57.8
21,1.12,245.8
21.9,0.88,206.2
20.4,0.42,295.8
21.2,1.1,48.3
21.4,5.18,37.7
21.6,7.68,211.1
21.3,3.6,320.8
21.8,0.9,259.4
20.2,0.68,287.9
20.7,6.03,102.8
20.7,7.82,35.3
21.6,4.64,345
20.9,1.04,251.6
21.7,1.64,130.6
21.5,4.9,51.1
22,1.08,252.1
22.2,1.13,321.1
21.1,3.41,208.2
21.3,4.61,168.6
18.6,23.64,193.4
18.7,0.46,341.1
21.4,1.96,247.4
21.7,1.34,317.9
24.3,9.83,26.6
22.9,19.51,239.5
19,1.16,46.9
25.4,0.15,133.9
25.1,0.91,118.9
23.9,1.2,133
20.8,2.99,327.2
20.7,0.52,243.2
21.7,0.89,356.9
18.2,1.43,231.4
20.9,0.94,33.4
20.8,3.26,92
21.3,2.4,179
18.9,24.12,225.5
21.2,1.51,340.1
19.7,18.09,343.8
20.1,17.66,176
19.1,14.33,204.7
18.8,2.97,203.7
20.6,5.32,97.7
20.3,3.57,74.5
21,1.12,12.2
21.2,0.96,258.9
20.3,1,239.9
21.9,0.97,243.3
22,0.2,248.5
21.2,0.91,253.4
19.7,0.94,232.4
21.8,0.84,156.5
21.4,0.56,34.4
19.2,14.03,141.9
19.9,3.8,65.7
17.7,20.04,359.9
19.7,31.12,61.8
22,2.58,115.4
19.9,1.07,339.3
19.4,12.17,54.3
22.2,0.12,270.7
22,6.06,8.3
21.9,0.69,271.2
23,0.74,81.8
16.7,36.81,338.7
21.5,1.28,27
21.7,0.41,129.6
21.3,1.8,143.4
20.9,0.52,302.7
20.8,0.48,302.8
22.6,1.64,68.4
20.9,1.17,326.6
22.1,0.68,291.5
22.3,0.59,286.7
22.6,1.37,337.7
21.7,1.27,70.6
21.5,0.84,148.9
19.6,10.95,304.7
22,1.74,89.4
21.6,3.06,256.1
21.9,1.1,280.6
22.1,2.78,170.5
21.1,1.74,251.1
22.1,3,286
22.1,1.83,266.1
22.3,3.28,15.7
20.1,13.57,62.7
20,7.39,147
21.5,5.76,146.6
21.3,6.68,47.1
22.5,0.61,289.5
21.1,1.25,95
22.6,1.78,279.7
21.6,13.88,186.8
22.3,1.46,325.6
20.5,4.05,346.6
21.3,2.49,100.2
21.4,2.05,215.2
19.8,25.54,5.9
22.1,2.46,351.7
22.6,3.69,129
22.2,0.54,343.7
22.2,1.11,316.7
19.1,43.81,64.2
21.3,14,24.4
20.3,21.43,100.7
19.8,1.71,75.5
20.8,0.98,255
20.1,18.81,41.7
20.9,1.09,254.2
20.6,1.03,254.6
18.9,6.56,10.2
20.6,12.82,89.6
21.1,1.95,203.6
20.9,13.32,131.9
20.4,6.16,137.1
20,14.57,202.2
20.4,20.72,49.4
18.4,12.98,228.2
20.5,7.14,138.2
20.2,1.31,178
19.9,0.58,246.3
21.7,1.53,84
20.8,1.8,96.4
22.2,35.66,141.2
20.6,7.44,31.1
22.2,0.99,152.7
21.8,1.02,253.2
21.7,0.98,264.1
28.4,0.08,126.9
21.4,1.41,44.5
26.2,0.09,117.2
22.2,1.1,248.5
23.1,1.06,346.7
22,1.39,339.1
20.6,5.85,154.9
21.8,4,10.9
20.8,6.01,206.5
22.1,13.41,123.4
22.6,1.28,137.4
21.2,7.69,11.7
22,1.01,252.4
22,0.99,322.4
21.3,25.49,86.1
22.4,1.01,323.2
22,0.66,71.6
22,1.02,322.4
21.9,1.88,231.6
22.1,0.97,261.1
22.4,1.91,91
21.6,0.87,350.8
22.2,2.66,319.8
21.4,8.52,95.9
21.8,2.78,158.9
20,6.53,211.7
21.1,0.59,83.9
23.8,26.77,124.8
34.6,1.99,106
21.4,5.81,137
21.9,13.96,238.6
22.8,0.98,183
23.5,0.39,41
22.2,12,196.6
21.9,0.81,148.7
21.5,1.57,78.2
23.2,0.61,70.4
22.2,0.99,95.3
22.6,1.47,181.8
22.2,1.46,268.1
22.4,11.55,193.2
23.7,0.98,133.7
21.3,1.75,120.3
18.1,29.06,119.6
21.8,1.24,276.7
21.2,5.83,30.5
16.8,39.21,291.6
18.7,49.13,64.2
20.8,12.91,14.3
19.6,26.73,105.1
19.9,2.41,77.1
20.7,0.96,255.9
19.8,20.07,42.3
20.9,1.06,253.3
20.6,1.03,254.8
19.4,3.96,10.9
21.5,5.96,90.4
21.1,1.94,202.8
21,12.24,134
20.7,6,138.4
20,14.44,201.1
20.7,16.34,59.4
17.8,23.96,222.3
20.7,5.43,139.2
20.1,1.31,176.7
19.9,0.56,245.9
21.4,1.53,83.9
20.8,1.79,96.4
22.9,23.33,133.3
20.6,7.15,31.6
22.5,0.76,153
21.3,0.98,253
21.7,0.99,263.5
28.7,0.11,129.7
21.3,1.39,43.9
22.2,1.09,248.4
22.6,1.21,138.2
22.4,1,322.3
21.9,0.64,72.8
21.9,1.86,231
22.1,0.98,260.4
21.9,0.81,147.8
21.5,1.66,78.3
23.3,0.53,71
22.2,0.92,96.3
22.7,1.37,183.4
22.3,1.42,268.4
22.6,10.69,194.8
23.8,0.85,134.8
21,0.89,261.1
21.6,0.4,261.7
18.7,16.07,129
21.4,6.19,30.1
16.7,29.6,292.2
19.2,44.8,66.1
20.7,12.17,14.4
19.1,49.22,104.4
19.6,3.15,76.6
19.9,20.82,44
20.6,1.05,253.4
20.7,1.03,254.8
22.2,3.19,90.8
21.1,1.94,201.8
23.6,15.09,124.9
22.7,0.57,153.4
21.7,1,262.7
29,0.14,129.7
22.3,1.07,248.4
22.4,1,321.3
21.9,0.62,74.3
21.9,1.84,230.3
22.1,0.99,259.5
21.9,0.81,146.8
21.4,1.77,78.4
23.3,0.45,71.8
22.3,0.84,97.6
22.7,1.27,185.3
22.3,1.37,268.6
22.7,9.72,196.9
23.9,0.72,136.4
